№,Name:,Description:,Price:,Image Url:
90,Honda CR-V,"2010 г., 2.4 л., автомат внедорожник 5 дв., бензин руль слева, 270 000 км",$ 14 399,https://im.mashina.kg/tachka/images//e/4/7/e47d60c2b05c12788b32dd677c96f60a_240x180.jpg
91,Toyota RAV4,"2007 г., 2.4 л., автомат внедорожник 5 дв., бензин руль слева, 270 000 км",$ 13 500,https://im.mashina.kg/tachka/images//2/5/1/2512324a829153256d3037ecf563fca3_240x180.jpg
92,SsangYong Korando Turismo,"2018 г., 2.2 л., автомат минивэн, дизель руль слева, 100 000 км",$ 19 800,https://im.mashina.kg/tachka/images//4/a/6/4a60c63fbd5ad3359ebd0a49344b791a_240x180.jpg
93,Lexus GX,"2010 г., 4.6 л., автомат внедорожник 5 дв., бензин руль слева, 240 000 км",$ 36 500,https://im.mashina.kg/tachka/images//7/d/f/7df0b6792402c18ab676c97ecc151c5e_240x180.jpg
94,Kia Sportage,"2017 г., 2.4 л., автомат внедорожник 5 дв., бензин руль слева, 190 000 км",$ 17 000,https://im.mashina.kg/tachka/images//6/3/8/638e8d570f0c1a80a5407bdab7bf80f3_240x180.jpg
95,Toyota Highlander,"2020 г., 3.5 л., автомат внедорожник 5 дв., бензин руль слева, 96 000 км",$ 49 500,https://im.mashina.kg/tachka/images//6/4/6/6462a9310de0adc14a0c9f1ece103744_240x180.jpg
96,Toyota Camry (Japan),"2018 г., 2.5 л., автомат седан, бензин руль слева, 85 000 км",$ 31 500,https://im.mashina.kg/tachka/images//5/6/3/563d7b69fa6af56685101961963c095b_240x180.jpg
97,Kia K5 III Седан,"2019 г., 2 л., автомат седан, бензин руль слева, 47 000 км",$ 27 500,https://im.mashina.kg/tachka/images//c/b/f/cbf36cd2efcd464fe74bd099d79d0bab_240x180.jpg
98,Lexus RX,"2018 г., 3.5 л., автомат внедорожник 5 дв., бензин руль слева, 73 000 км",$ 48 000,https://im.mashina.kg/tachka/images//1/e/5/1e5f1facd50168c11563fa8ef2a7d823_240x180.jpg
99,Lexus CT,"2016 г., 1.8 л., вариатор хэтчбек 5 дв., гибрид руль слева, 60 000 км",$ 16 300,https://im.mashina.kg/tachka/images//a/0/a/a0a435047d9c624d53840f856b353c7a_240x180.jpg
100,Toyota Highlander,"2023 г., 2.5 л., автомат внедорожник 5 дв., гибрид руль слева, 95 км",$ 55 500,https://im.mashina.kg/tachka/images//c/1/8/c185c70a63511a1d812ff91b7d369bb7_240x180.jpg
101,Toyota Prius,"2016 г., 1.8 л., вариатор лифтбек, гибрид руль слева, 108 000 км",$ 15 300,https://im.mashina.kg/tachka/images//5/e/c/5ecb737877f6e5c2c06c4a7b831d98ae_240x180.jpg
102,Toyota Land Cruiser,"2018 г., 4.5 л., автомат внедорожник 5 дв., дизель руль слева, 95 000 км",$ 80 000,https://im.mashina.kg/tachka/images//5/0/8/508290122af68b08b3cb8b8a51a44855_240x180.jpg
103,Mercedes-Benz E-класс,"2004 г., 3.2 л., автомат седан, бензин руль слева, 188 000 км",$ 12 000,https://im.mashina.kg/tachka/images//d/d/f/ddf0da10224da0240940e9a23c4896cb_240x180.jpg
104,Hyundai Avante,"2019 г., 1.6 л., автомат седан, газ руль слева, 130 000 км",$ 14 500,https://im.mashina.kg/tachka/images//3/f/f/3ff364f84f423627f0b4e1a3f91375cc_240x180.jpg
105,Kia Sorento,"2017 г., 2 л., автомат внедорожник 5 дв., дизель руль слева, 82 000 км",$ 25 500,https://im.mashina.kg/tachka/images//c/3/e/c3ec4d0f21b9c5a89b1c76b7619ed7d5_240x180.jpg
106,Lexus GX,"2016 г., 4.6 л., автомат внедорожник 5 дв., бензин руль слева, 90 000 км",$ 52 500,https://im.mashina.kg/tachka/images//9/3/1/931d8d1a827ecb10c47928627e8be191_240x180.jpg
107,Chevrolet Equinox,"2018 г., 2.4 л., автомат внедорожник 5 дв., бензин руль слева, 76 000 км",$ 17 600,https://im.mashina.kg/tachka/images//e/c/8/ec86601208937a668b00babd74cad494_240x180.jpg
108,Lexus GX,"2018 г., 4.6 л., автомат внедорожник 5 дв., бензин руль слева, 46 000 км",$ 45 500,https://im.mashina.kg/tachka/images//0/c/6/0c651291ca79cd89336cedbd21ead4c6_240x180.jpg
109,LiXiang L9,"2023 г., 1.5 л., автомат внедорожник 5 дв., гибрид руль слева, 10 км",$ 71 500,https://im.mashina.kg/tachka/images//c/b/9/cb9ab8c8cb1cbb22b871af23927ec959_240x180.jpg
110,Changan UNI-K,"2023 г., 2 л., автомат внедорожник 5 дв., бензин руль слева, 20 км",$ 29 800,https://im.mashina.kg/tachka/images//1/a/6/1a6eda118f29c3d30439c54abead2df1_240x180.jpg
111,BMW X5,"2020 г., 3 л., автомат внедорожник 5 дв., бензин руль слева, 23 000 км",$ 85 000,https://im.mashina.kg/tachka/images//b/f/3/bf3997bc1e21524a945671e3fe38af76_240x180.jpg
112,LiXiang L7,"2023 г., 1.5 л., автомат внедорожник 5 дв., гибрид руль слева, 20 км",$ 62 000,https://im.mashina.kg/tachka/images//1/9/5/195c25d0782f98a15448c15feee5f269_240x180.jpg
113,Zeekr X,"2023 г., автомат внедорожник 5 дв., электро руль слева",$ 33 571,https://im.mashina.kg/tachka/images//3/a/9/3a948a03224fda71c51065de751f6c90_240x180.jpg
114,LiXiang L7,"2023 г., 1.5 л., автомат внедорожник 5 дв., гибрид руль слева",$ 45 048,https://im.mashina.kg/tachka/images//2/3/0/230410b72847bbff95205b621f6ee33e_240x180.jpg
115,LiXiang L9,"2023 г., 1.5 л., автомат внедорожник 5 дв., гибрид руль слева",$ 63 392,https://im.mashina.kg/tachka/images//a/9/e/a9ec096dff27e319735e9f83f6706719_240x180.jpg
116,Changan UNI-K,"2023 г., 1.5 л., автомат внедорожник 5 дв., гибрид руль слева",$ 25 961,https://im.mashina.kg/tachka/images//7/7/e/77e12d28fbb1c23760062caa8a5290af_240x180.jpg
117,Toyota Corolla,"2019 г., 1.8 л., вариатор седан, бензин руль слева, 100 000 км",$ 14 000,https://im.mashina.kg/tachka/images//8/4/f/84f2f032a1bc80a3163eba987c3cf5c3_240x180.jpg
118,Hyundai Sonata,"2017 г., 2 л., автомат седан, газ руль слева, 220 000 км",$ 11 000,https://im.mashina.kg/tachka/images//2/b/3/2b30a9e609b1edefcc803ef6422e2718_240x180.jpg
119,Toyota Highlander,"2017 г., 3.5 л., вариатор внедорожник 5 дв., гибрид руль слева, 182 000 км",$ 37 500,https://im.mashina.kg/tachka/images//b/0/d/b0dcbfb71e3a4535dbf3ff61817a0069_240x180.jpg
120,EXEED Yaoguang,"2023 г., 2 л., робот внедорожник 5 дв., бензин руль слева",$ 37 500,https://im.mashina.kg/tachka/images//c/c/a/ccac8077fab3f3d27183cef5c363260d_240x180.jpg
121,Toyota Camry,"2021 г., 2.5 л., автомат седан, бензин руль слева, 50 300 км",$ 28 500,https://im.mashina.kg/tachka/images//5/1/c/51cc25c5d5b9e99160e6f57c885e3d03_240x180.jpg
122,Toyota Crown Majesta,"2004 г., 4.3 л., автомат седан, бензин руль справа, 273 000 км",$ 12 700,https://im.mashina.kg/tachka/images//3/0/8/308d831b4be5b56f1d46a5c2fd3d0815_240x180.jpg
123,Toyota RAV4,"2017 г., 2.5 л., вариатор внедорожник 5 дв., гибрид руль слева, 89 000 км",$ 23 000,https://im.mashina.kg/tachka/images//b/3/a/b3a504ea462dbc718227d54609b31596_240x180.jpg
124,Honda Fit,"2010 г., 1.3 л., вариатор хэтчбек 5 дв., гибрид руль справа, 172 451 км",$ 8 800,https://im.mashina.kg/tachka/images//a/2/b/a2bfc135516a795b8abb9b01fc336502_240x180.jpg
125,Lexus RX,"2023 г., 2.4 л., автомат внедорожник 5 дв., бензин руль слева, 77 км",$ 95 490,https://im.mashina.kg/tachka/images//1/d/6/1d69d2c345863d4186659905bb0b2b95_240x180.jpg
126,Lexus RX,"2003 г., 3.3 л., автомат внедорожник 5 дв., бензин руль слева, 209 214 км",$ 13 600,https://im.mashina.kg/tachka/images//1/1/8/118885308efdaabcf75521cdd9cda7b8_240x180.jpg
127,Hyundai Santa Fe,"2018 г., 2.2 л., автомат внедорожник 5 дв., дизель руль слева, 151 000 км",$ 27 500,https://im.mashina.kg/tachka/images//8/b/d/8bdd7433871fd89f1766265e413a360d_240x180.jpg
128,BMW X5,"2016 г., 4.4 л., автомат внедорожник 5 дв., бензин руль слева, 161 000 км",$ 43 500,https://im.mashina.kg/tachka/images//5/6/4/564b1899ab5d03c142c5e9c7b042e58b_240x180.jpg
129,Toyota Highlander,"2017 г., 3.5 л., автомат внедорожник 5 дв., бензин руль слева, 63 438 км",$ 30 500,https://im.mashina.kg/tachka/images//0/0/2/00203c1c6411bbd8052df40a58d7976d_240x180.jpg
130,Lexus GX,"2018 г., 4.6 л., автомат внедорожник 5 дв., бензин руль слева, 56 000 км",$ 52 800,https://im.mashina.kg/tachka/images//f/a/a/faa064c27c0dcd2d52e05cfb5ade336f_240x180.jpg
131,Toyota Camry,"2016 г., 2.5 л., вариатор седан, гибрид руль слева, 100 000 км",$ 22 800,https://im.mashina.kg/tachka/images//8/6/1/8611e32d068b393bccfcdab8a93cb0b7_240x180.jpg
132,Kia Mohave (Borrego),"2020 г., 3 л., автомат внедорожник 5 дв., дизель руль слева, 21 500 км",$ 47 400,https://im.mashina.kg/tachka/images//f/9/5/f95447c7e952221ce3f1807ae9eeba8c_240x180.jpg
133,Toyota Avensis,"2005 г., 2 л., механика универсал, дизель руль слева, 258 000 км",$ 5 800,https://im.mashina.kg/tachka/images//7/6/4/76405fe3a4d8b55acaae98645c1ca835_240x180.jpg
134,Toyota Camry,"2012 г., 2.5 л., автомат седан, бензин руль слева, 113 000 км",$ 13 799,https://im.mashina.kg/tachka/images//a/d/4/ad435e8320054a2aa0553fdc9aaf3696_240x180.jpg
135,Toyota Prius,"2022 г., 1.8 л., автомат лифтбек, гибрид руль слева, 23 000 км",$ 23 000,https://im.mashina.kg/tachka/images//c/8/1/c813a8a8dc20710999db0649dfc1e3af_240x180.jpg
136,Lexus GX,"2007 г., 4.7 л., автомат внедорожник 5 дв., бензин руль слева, 178 800 км",$ 27 800,https://im.mashina.kg/tachka/images//6/4/b/64bafdac5402126e6957a1dc4e55d051_240x180.jpg
137,Kia Sportage,"2018 г., 2 л., автомат внедорожник 5 дв., дизель руль слева, 106 000 км",$ 16 800,https://im.mashina.kg/tachka/images//1/3/c/13c98b90e0e2d0c819679e1630307dd8_240x180.jpg
138,Kia K5 II Седан,"2017 г., 2 л., автомат седан, газ руль слева, 143 000 км",$ 13 900,https://im.mashina.kg/tachka/images//f/1/8/f189d74c0079795cd0481ad8febada1d_240x180.jpg
139,Geely Monjaro,"2023 г., 2 л., автомат внедорожник 5 дв., бензин руль слева",$ 26 700,https://im.mashina.kg/tachka/images//7/4/4/744bbaa5a938ccd63b797e41727e46a4_240x180.jpg
140,EXEED RX,"2023 г., 2 л., робот внедорожник 5 дв., бензин руль слева",$ 29 500,https://im.mashina.kg/tachka/images//a/5/6/a569bce2ccad2649622a78d8ad4901ad_240x180.jpg
141,Toyota Land Cruiser,"2018 г., 4.5 л., автомат внедорожник 5 дв., дизель руль слева, 75 000 км",$ 80 000,https://im.mashina.kg/tachka/images//a/2/c/a2cd1fdcea39d9991ee2821a45ce160d_240x180.jpg
142,Land Rover Range Rover,"2013 г., 3 л., автомат внедорожник 5 дв., дизель руль слева, 170 000 км",$ 50 000,https://im.mashina.kg/tachka/images//1/9/c/19cd5acdaf7bb43ca7e4153518f476f9_240x180.jpg
143,Kia Seltos,"2019 г., 1.6 л., робот внедорожник 5 дв., дизель руль слева, 130 000 км",$ 18 000,https://im.mashina.kg/tachka/images//d/6/5/d6585267c9af25cd83a7a3d4d07c63ca_240x180.jpg
144,Mercedes-Benz GLA,"2015 г., 2 л., робот внедорожник 5 дв., бензин руль слева, 1 000 км",$ 23 000,https://im.mashina.kg/tachka/images//7/c/0/7c078cda05471362d2da2c850554dc5c_240x180.jpg
145,Zeekr X,"2023 г., автомат внедорожник 5 дв., электро руль слева, 50 км",$ 32 000,https://im.mashina.kg/tachka/images//3/7/d/37d58d40f8102d9f6764939341b42d03_240x180.jpg
146,LiXiang L7,"2023 г., 1.5 л., автомат внедорожник 5 дв., гибрид руль слева, 50 км",$ 50 000,https://im.mashina.kg/tachka/images//b/5/9/b59f2fc48662ee134c1b3fd3e99b52e6_240x180.jpg
147,Voyah Dream,"2023 г., 1.5 л., автомат минивэн, гибрид руль слева, 53 км",$ 53 000,https://im.mashina.kg/tachka/images//b/7/1/b71951c77dd0f58d4a0d19030d59757d_240x180.jpg
148,Kia Sportage,"2023 г., 2 л., автомат внедорожник 5 дв., бензин руль слева, 60 км",$ 31 000,https://im.mashina.kg/tachka/images//2/0/8/2089758e92d6aa2895f5a084319400df_240x180.jpg
149,Zeekr 001,"2023 г., автомат лифтбек, электро руль слева, 52 км",$ 52 000,https://im.mashina.kg/tachka/images//0/b/b/0bb84c83a659301244f88cfdd0cc878c_240x180.jpg
150,Voyah Free,"2023 г., 1.5 л., автомат внедорожник 5 дв., гибрид руль слева, 53 км",$ 38 500,https://im.mashina.kg/tachka/images//8/3/b/83b00fbe568adae92dc82cdf8f7a9f79_240x180.jpg
151,Lotus Eletre,"2023 г., автомат внедорожник 5 дв., электро руль слева, 30 км",$ 114 000,https://im.mashina.kg/tachka/images//1/9/c/19cddab4b49aaa0dbb39419f46c6bf2e_240x180.jpg
152,Geely Monjaro,"2023 г., 2 л., автомат внедорожник 5 дв., бензин руль слева, 45 км",$ 28 000,https://im.mashina.kg/tachka/images//b/6/3/b638f7aacaeb44511a02d3746dac5a48_240x180.jpg
153,Voyah Free,"2023 г., 1.5 л., автомат внедорожник 5 дв., гибрид руль слева, 53 км",$ 38 500,https://im.mashina.kg/tachka/images//6/7/e/67ecc3ead155d1392aaa4771799875d4_240x180.jpg
154,EXEED RX,"2023 г., 2 л., автомат внедорожник 5 дв., бензин руль слева, 60 км",$ 28 500,https://im.mashina.kg/tachka/images//a/8/0/a80dc51994b00e0eaaef70a5d67e62df_240x180.jpg
155,LiXiang L9,"2023 г., 1.5 л., автомат внедорожник 5 дв., гибрид руль слева, 53 км",$ 62 000,https://im.mashina.kg/tachka/images//0/5/d/05dfd842ac254c917ec13a58c5e8e5f7_240x180.jpg
156,EXEED RX,"2023 г., 2 л., робот внедорожник 5 дв., бензин руль слева, 50 км",$ 28 500,https://im.mashina.kg/tachka/images//0/1/7/017b9b7e063b0fb7685feb8beda2bf6e_240x180.jpg
157,BMW 4 Серии,"2019 г., 2 л., автомат купе, бензин руль слева, 100 000 км",$ 36 000,https://im.mashina.kg/tachka/images//2/f/0/2f0e376b8d2cb58b8a6aeb2ca5746056_240x180.jpg
158,Toyota Camry,"2017 г., 2.5 л., вариатор седан, гибрид руль слева, 82 000 км",$ 19 200,https://im.mashina.kg/tachka/images//5/6/9/56901cddcc936c2e49cd47ecbb7c3f63_240x180.jpg
159,Toyota Camry,"2017 г., 2.5 л., автомат седан, бензин руль слева, 97 000 км",$ 26 500,https://im.mashina.kg/tachka/images//f/b/b/fbb5b6c5bbf72c5c2d1433f11779ba44_240x180.jpg
160,BMW X5,"2021 г., 4.4 л., автомат внедорожник 5 дв., бензин руль слева, 40 000 км",$ 95 000,https://im.mashina.kg/tachka/images//3/5/d/35d638c5b89bf4b6c7aebe99bc459f0f_240x180.jpg
161,BMW X6,"2018 г., 3 л., автомат внедорожник 5 дв., дизель руль слева, 228 000 км",$ 40 000,https://im.mashina.kg/tachka/images//1/0/3/10392561f66d73d2eeeca50b45b44374_240x180.jpg
162,Subaru Outback,"2019 г., 2.5 л., вариатор универсал, бензин руль слева, 120 000 км",$ 19 300,https://im.mashina.kg/tachka/images//4/c/0/4c0d0c5e9fe34790ba3b99489bbee1da_240x180.jpg
163,Toyota Camry,"2019 г., 2.5 л., вариатор седан, гибрид руль слева, 83 000 км",$ 27 000,https://im.mashina.kg/tachka/images//a/d/7/ad7a27afeed5cefeb686c8d6b11031e8_240x180.jpg
164,Kia K8,"2023 г., 1.6 л., автомат седан, гибрид руль слева, 4 000 км",$ 48 000,https://im.mashina.kg/tachka/images//f/3/f/f3f2178906af485fc29b2c0055bee148_240x180.jpg
165,Toyota RAV4,"2019 г., 2.5 л., автомат внедорожник 5 дв., бензин руль слева, 50 000 км",$ 28 300,https://im.mashina.kg/tachka/images//5/d/8/5d851cbce3553483338822633bdde488_240x180.jpg
166,Kia K9,"2020 г., 3.8 л., автомат седан, бензин руль слева, 48 000 км",$ 47 000,https://im.mashina.kg/tachka/images//f/c/0/fc014b39a1ad0a043a73a30f378e5057_240x180.jpg
167,Lexus RX,"2018 г., 3.5 л., автомат внедорожник 5 дв., бензин руль слева, 71 000 км",$ 41 000,https://im.mashina.kg/tachka/images//e/5/1/e511670ea56e01273c01cbcf4b3767c3_240x180.jpg
168,Honda Fit,"2005 г., 1.3 л., вариатор хэтчбек 5 дв., бензин руль справа, 250 000 км",$ 8 491,https://im.mashina.kg/tachka/images//a/4/0/a40ff277ac09fc0e55e61fb4849bc279_240x180.jpg
169,Honda Fit,"2005 г., 1.3 л., вариатор хэтчбек 5 дв., бензин руль справа, 320 000 км",$ 8 714,https://im.mashina.kg/tachka/images//8/7/9/8793f3d6fbceaa5f55dea9416c8160c5_240x180.jpg
170,Kia K5 III Седан,"2021 г., 2 л., автомат седан, газ руль слева, 24 000 км",$ 21 999,https://im.mashina.kg/tachka/images//e/1/b/e1be5e33e9d11b2126a17c59479a6395_240x180.jpg
171,Lexus GS,"2018 г., 2.5 л., вариатор седан, гибрид руль слева, 155 000 км",$ 29 999,https://im.mashina.kg/tachka/images//b/5/5/b554154616f968c12f47022d9490bcd0_240x180.jpg
172,Subaru Legacy,"2004 г., 2 л., автомат универсал, бензин руль справа, 259 000 км",$ 7 200,https://im.mashina.kg/tachka/images//f/a/4/fa4d04f7e096447df5ab138f76b7720e_240x180.jpg
173,Hyundai Santa Fe,"2019 г., 2 л., автомат внедорожник 5 дв., бензин руль слева, 97 000 км",$ 31 900,https://im.mashina.kg/tachka/images//2/e/6/2e6947a778f50b347ea1b03e2809da0c_240x180.jpg
174,Kia K5 II Седан,"2019 г., 2 л., автомат седан, газ руль слева, 98 000 км",$ 16 700,https://im.mashina.kg/tachka/images//4/b/a/4baf156de824defeb3845a6fe23a18fb_240x180.jpg
175,Toyota Camry,"2017 г., 2.5 л., вариатор седан, гибрид руль слева, 104 000 км",$ 16 300,https://im.mashina.kg/tachka/images//0/6/9/06931ae577627c462f6704f5d3d923ba_240x180.jpg
176,Geely Monjaro,"2023 г., 2 л., автомат внедорожник 5 дв., бензин руль слева, 60 км",$ 32 500,https://im.mashina.kg/tachka/images//0/3/4/034d0ec7b7f814bcf27d892a026222e1_240x180.jpg
177,Mitsubishi Lancer,"2010 г., 2 л., вариатор седан, бензин руль слева, 187 000 км",$ 8 300,https://im.mashina.kg/tachka/images//9/e/3/9e3e0da0c7926462564fa3f6dec5cae9_240x180.jpg
178,Hyundai Sonata,"2017 г., 2 л., автомат седан, газ руль слева, 280 000 км",$ 13 500,https://im.mashina.kg/tachka/images//3/f/8/3f88d4b8f12b137f08200f03e16612a0_240x180.jpg
179,Kia K5 III Седан,"2021 г., 2.5 л., автомат седан, бензин руль слева, 100 000 км",$ 24 000,https://im.mashina.kg/tachka/images//0/6/4/06420bd918e1fb17f3b91bbb0fbe3e3d_240x180.jpg
180,BMW X5,"2018 г., 3 л., автомат внедорожник 5 дв., бензин руль слева, 72 000 км",$ 42 800,https://im.mashina.kg/tachka/images//5/5/8/5583575c97f8a4c93ffa18f38e1735ac_240x180.jpg
